Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),applied
2020,Afghanistan,AFG,Egypt,EGY,14
2020,Afghanistan,AFG,Armenia,ARM,5
2020,Afghanistan,AFG,Australia,AUS,90
2020,Afghanistan,AFG,Australia,AUS,346
2020,Afghanistan,AFG,Austria,AUT,3137
2020,Afghanistan,AFG,Azerbaijan,AZE,47
2020,Afghanistan,AFG,Azerbaijan,AZE,470
2020,Afghanistan,AFG,Belgium,BEL,2308
2020,Afghanistan,AFG,Belgium,BEL,796
2020,Afghanistan,AFG,Belarus,BLR,11
2020,Afghanistan,AFG,Bosnia and Herzegovina,BIH,31
2020,Afghanistan,AFG,Bosnia and Herzegovina,BIH,6
2020,Afghanistan,AFG,Bulgaria,BGR,1736
2020,Afghanistan,AFG,Canada,CAN,36
2020,Afghanistan,AFG,Canada,CAN,190
2020,Afghanistan,AFG,Cyprus,CYP,14
2020,Afghanistan,AFG,Czechia,CZE,7
2020,Afghanistan,AFG,Czechia,CZE,5
2020,Afghanistan,AFG,Denmark,DNK,46
2020,Afghanistan,AFG,Denmark,DNK,69
2020,Afghanistan,AFG,Finland,FIN,144
2020,Afghanistan,AFG,Finland,FIN,220
2020,Afghanistan,AFG,France,FRA,2602
2020,Afghanistan,AFG,France,FRA,10191
2020,Afghanistan,AFG,France,FRA,97
2020,Afghanistan,AFG,France,FRA,173
2020,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,286
2020,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,1546
2020,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,39
2020,Afghanistan,AFG,Germany,DEU,9901
2020,Afghanistan,AFG,Germany,DEU,1410
2020,Afghanistan,AFG,Greece,GRC,1757
2020,Afghanistan,AFG,Greece,GRC,11100
2020,Afghanistan,AFG,Greece,GRC,414
2020,Afghanistan,AFG,Croatia,HRV,798
2020,Afghanistan,AFG,Croatia,HRV,5
2020,Afghanistan,AFG,Hungary,HUN,10
2020,Afghanistan,AFG,Hungary,HUN,15
2020,Afghanistan,AFG,Iceland,ISL,25
2020,Afghanistan,AFG,Iceland,ISL,30
2020,Afghanistan,AFG,India,IND,370
2020,Afghanistan,AFG,India,IND,916
2020,Afghanistan,AFG,Indonesia,IDN,40
2020,Afghanistan,AFG,Ireland,IRL,72
2020,Afghanistan,AFG,Iraq,IRQ,8
2020,Afghanistan,AFG,Italy,ITA,638
2020,Afghanistan,AFG,Kazakhstan,KAZ,66
2020,Afghanistan,AFG,Kazakhstan,KAZ,78
2020,Afghanistan,AFG,Kyrgyzstan,KGZ,46
2020,Afghanistan,AFG,Rep. of Korea,KOR,8
2020,Afghanistan,AFG,Libya,LBY,5
2020,Afghanistan,AFG,Sri Lanka,LKA,19
2020,Afghanistan,AFG,Lithuania,LTU,9
2020,Afghanistan,AFG,Luxembourg,LUX,94
2020,Afghanistan,AFG,Latvia,LVA,8
2020,Afghanistan,AFG,North Macedonia,MKD,47
2020,Afghanistan,AFG,Malaysia,MYS,265
2020,Afghanistan,AFG,Montenegro,MNE,25
2020,Afghanistan,AFG,Netherlands,NLD,389
2020,Afghanistan,AFG,Netherlands,NLD,182
2020,Afghanistan,AFG,Norway,NOR,76
2020,Afghanistan,AFG,Norway,NOR,54
2020,Afghanistan,AFG,Norway,NOR,5
2020,Afghanistan,AFG,New Zealand,NZL,13
2020,Afghanistan,AFG,Pakistan,PAK,1285
2020,Afghanistan,AFG,Peru,PER,5
2020,Afghanistan,AFG,Poland,POL,5
2020,Afghanistan,AFG,Poland,POL,119
2020,Afghanistan,AFG,Portugal,PRT,30
2020,Afghanistan,AFG,Romania,ROU,2381
2020,Afghanistan,AFG,Romania,ROU,5
2020,Afghanistan,AFG,Russian Federation,RUS,102
2020,Afghanistan,AFG,Russian Federation,RUS,470
2020,Afghanistan,AFG,Spain,ESP,32
2020,Afghanistan,AFG,Serbia and Kosovo: S/RES/1244 (1999),SRB,66
2020,Afghanistan,AFG,Slovakia,SVK,50
2020,Afghanistan,AFG,Slovenia,SVN,742
2020,Afghanistan,AFG,Slovenia,SVN,12
2020,Afghanistan,AFG,Sweden,SWE,617
2020,Afghanistan,AFG,Sweden,SWE,441
2020,Afghanistan,AFG,Sweden,SWE,152
2020,Afghanistan,AFG,Switzerland,CHE,1631
2020,Afghanistan,AFG,Switzerland,CHE,50
2020,Afghanistan,AFG,Syrian Arab Rep.,SYR,9
2020,Afghanistan,AFG,Thailand,THA,36
2020,Afghanistan,AFG,Tajikistan,TJK,1090
2020,Afghanistan,AFG,Turkey,TUR,22606
2020,Afghanistan,AFG,Ukraine,UKR,134
2020,Afghanistan,AFG,Ukraine,UKR,81
2020,Afghanistan,AFG,Uruguay,URY,5
2020,Afghanistan,AFG,United States of America,USA,29
2020,Afghanistan,AFG,United States of America,USA,15
2020,Afghanistan,AFG,United States of America,USA,96
2020,Anguilla,AIA,Peru,PER,5
2020,Albania,ALB,Australia,AUS,23
2020,Albania,ALB,Australia,AUS,9
2020,Albania,ALB,Austria,AUT,26
2020,Albania,ALB,Belgium,BEL,270
2020,Albania,ALB,Belgium,BEL,177
2020,Albania,ALB,Canada,CAN,31
2020,Albania,ALB,Canada,CAN,35
2020,Albania,ALB,Denmark,DNK,5
2020,Albania,ALB,Denmark,DNK,13
2020,Albania,ALB,France,FRA,1939
2020,Albania,ALB,France,FRA,2007
2020,Albania,ALB,France,FRA,322
2020,Albania,ALB,France,FRA,807
2020,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,315
2020,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,3071
