source,Target,Weight
Afghanistan,Armenia,5
Afghanistan,Australia,436
Afghanistan,Austria,3137
Afghanistan,Azerbaijan,517
Afghanistan,Belarus,11
Afghanistan,Belgium,3104
Afghanistan,Bosnia and Herzegovina,37
Afghanistan,Bulgaria,1736
Afghanistan,Canada,226
Afghanistan,Croatia,803
Afghanistan,Cyprus,14
Afghanistan,Czechia,12
Afghanistan,Denmark,115
Afghanistan,Egypt,14
Afghanistan,Finland,364
Afghanistan,France,13063
Afghanistan,Germany,11311
Afghanistan,Greece,13271
Afghanistan,Hungary,25
Afghanistan,Iceland,55
Afghanistan,India,1286
Afghanistan,Indonesia,40
Afghanistan,Iraq,8
Afghanistan,Ireland,72
Afghanistan,Italy,638
Afghanistan,Kazakhstan,144
Afghanistan,Kyrgyzstan,46
Afghanistan,Latvia,8
Afghanistan,Libya,5
Afghanistan,Lithuania,9
Afghanistan,Luxembourg,94
Afghanistan,Malaysia,265
Afghanistan,Montenegro,25
Afghanistan,Netherlands,571
Afghanistan,New Zealand,13
Afghanistan,North Macedonia,47
Afghanistan,Norway,135
Afghanistan,Pakistan,1285
Afghanistan,Peru,5
Afghanistan,Poland,124
Afghanistan,Portugal,30
Afghanistan,Rep. of Korea,8
Afghanistan,Romania,2386
Afghanistan,Russian Federation,572
Afghanistan,Serbia and Kosovo: S/RES/1244 (1999),66
Afghanistan,Slovakia,50
Afghanistan,Slovenia,754
Afghanistan,Spain,32
Afghanistan,Sri Lanka,19
Afghanistan,Sweden,1210
Afghanistan,Switzerland,1681
Afghanistan,Syrian Arab Rep.,9
Afghanistan,Tajikistan,1090
Afghanistan,Thailand,36
Afghanistan,Turkey,22606
Afghanistan,Ukraine,215
Afghanistan,United Kingdom of Great Britain and Northern Ireland,1871
Afghanistan,United States of America,140
Afghanistan,Uruguay,5
Albania,Australia,32
Albania,Austria,26
Albania,Belgium,447
Albania,Canada,66
Albania,Denmark,18
Albania,France,5075
Albania,Germany,1220
Albania,Greece,2563
Albania,Iceland,15
Albania,Ireland,194
Albania,Italy,445
Albania,Liechtenstein,5
Albania,Luxembourg,24
Albania,Netherlands,89
Albania,Norway,36
Albania,Romania,7
Albania,Spain,50
Albania,Sweden,534
Albania,Switzerland,54
Albania,United Kingdom of Great Britain and Northern Ireland,3418
Albania,United States of America,391
Algeria,Austria,388
Algeria,Belgium,99
Algeria,Bosnia and Herzegovina,6
Algeria,Brazil,10
Algeria,Bulgaria,38
Algeria,Canada,257
Algeria,Croatia,23
Algeria,Czechia,11
Algeria,Denmark,51
Algeria,Finland,6
Algeria,France,2674
Algeria,Germany,1484
Algeria,Greece,463
Algeria,Iceland,5
Algeria,Ireland,105
Algeria,Italy,116
Algeria,Lebanon,6
Algeria,Luxembourg,41
Algeria,Malta,11
Algeria,Montenegro,103
Algeria,Morocco,6
Algeria,Netherlands,1062
Algeria,Norway,11
Algeria,Poland,13
Algeria,Portugal,7
