source,Target,weight
Afghanistan,Armenia,5
Afghanistan,Australia,436
Afghanistan,Austria,3137
Afghanistan,Azerbaijan,517
Afghanistan,Belarus,11
Afghanistan,Belgium,3104
Afghanistan,Bosnia and Herzegovina,37
Afghanistan,Bulgaria,1736
Afghanistan,Canada,226
Afghanistan,Croatia,803
Afghanistan,Cyprus,14
Afghanistan,Czechia,12
Afghanistan,Denmark,115
Afghanistan,Egypt,14
Afghanistan,Finland,364
Afghanistan,France,13063
Afghanistan,Germany,11311
Afghanistan,Greece,13271
Afghanistan,Hungary,25
Afghanistan,Iceland,55
Afghanistan,India,1286
Afghanistan,Indonesia,40
Afghanistan,Iraq,8
Afghanistan,Ireland,72
Afghanistan,Italy,638
Afghanistan,Kazakhstan,144
Afghanistan,Kyrgyzstan,46
Afghanistan,Latvia,8
Afghanistan,Libya,5
Afghanistan,Lithuania,9
Afghanistan,Luxembourg,94
Afghanistan,Malaysia,265
Afghanistan,Montenegro,25
Afghanistan,Netherlands,571
Afghanistan,New Zealand,13
Afghanistan,North Macedonia,47
Afghanistan,Norway,135
Afghanistan,Pakistan,1285
Afghanistan,Peru,5
Afghanistan,Poland,124
Afghanistan,Portugal,30
Afghanistan,Rep. of Korea,8
Afghanistan,Romania,2386
Afghanistan,Russian Federation,572
Afghanistan,Serbia and Kosovo: S/RES/1244 (1999),66
Afghanistan,Slovakia,50
Afghanistan,Slovenia,754
Afghanistan,Spain,32
Afghanistan,Sri Lanka,19
Afghanistan,Sweden,1210
Afghanistan,Switzerland,1681
Afghanistan,Syrian Arab Rep.,9
Afghanistan,Tajikistan,1090
Afghanistan,Thailand,36
Afghanistan,Turkey,22606
Afghanistan,Ukraine,215
Afghanistan,United Kingdom of Great Britain and Northern Ireland,1871
Afghanistan,United States of America,140
Afghanistan,Uruguay,5
Myanmar,Australia,213
Myanmar,Bangladesh,5
Myanmar,France,23
Myanmar,Germany,267
Myanmar,Greece,25
Myanmar,India,807
Myanmar,Indonesia,405
Myanmar,Ireland,5
Myanmar,Malaysia,5264
Myanmar,Nepal,17
Myanmar,Netherlands,26
Myanmar,Norway,11
Myanmar,Rep. of Korea,37
Myanmar,Sweden,6
Myanmar,Switzerland,9
Myanmar,United Kingdom of Great Britain and Northern Ireland,22
Myanmar,United States of America,1008
South Sudan,Australia,22
South Sudan,Belgium,5
South Sudan,Burundi,7
South Sudan,Central African Rep.,5
South Sudan,Egypt,941
South Sudan,Ethiopia,44
South Sudan,France,9
South Sudan,Germany,21
South Sudan,Greece,14
South Sudan,India,11
South Sudan,Italy,7
South Sudan,Liberia,5
South Sudan,Libya,77
South Sudan,Malaysia,5
South Sudan,Malta,45
South Sudan,Morocco,377
South Sudan,Netherlands,8
South Sudan,Tunisia,5
South Sudan,Uganda,1679
South Sudan,United Kingdom of Great Britain and Northern Ireland,47
South Sudan,United States of America,33
South Sudan,Zambia,10
Syrian Arab Rep.,Albania,7
